Name,CO,C1CCOCC1,C1=CC=NC=C1,CS,C1CCOC1,C[NH3+],C,C1CC1,C#C,CC,[NH4+],CF,C1CCCC1,C[O-],C=C,[NH2+]=O,CBr,C=O,C1=CC=CC=C1,N,NN,[NH3+][O-],CN,CCl,ExpperMGS
1-(α-D-Galactopyranosyl)-2-propene,4,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.2
1-(α-D-Glucopyranosyl)-2-propene,4,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80.6
1-(α-D-mannopyranosyl)-2-propene,4,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88.8
1-(α-D-Talopyranosyl)-2-propene,4,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95.4
1-(β-D-Galactopyranosyl)-2-propene,4,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76.9
1-(β-D-Glucopyranosyl)-2-propene,4,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79.4
"1-α-O-Methyl-1-β-(ethyl-2,2,-difluoroacetate)-D-galactopyranoside",8,1,0,0,0,0,3,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,80
1-α-Hydroxyl-1-β-ethyl acetate-D-galactopyranoside,7,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81.4
1-α-O-Methyl-1-β-ethyl acetate-D-galactopyranoside,8,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.8
Allyl β-D-galactopyranosyl-(1→3)-2-acetamido-2-deoxy-β-D-galactopyranoside,10,2,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,2,0,66.2
Allyl β-D-galactopyranosyl-(1→4)-2-acetamido-2-deoxy-β-D-galactopyranoside,10,2,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,2,0,61.4
Allyl β-D-galactopyranosyl-(1→6)-2-acetamido-2-deoxy-β-D-galactopyranoside,10,2,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,2,0,52.6
Allyl β-D-galactopyranosyl-(1→3)-β-D-galactopyranoside,11,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70.3
Allyl-β-D-galactopyranoside,6,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84.7
1-α-Hydroxyl-2-acetamido-2-deoxy-β-D-galactopyranoside,4,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,89.3
Allyl 2-acetamido-2-deoxy-β-D-galactopyranoside,5,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,2,0,83.4
Octyl-β-D-glucopyranoside,6,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.6
Octyl-β-D-galactopyranoside,6,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9
L-Lysine butyl ester dihydrochloride,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41.7
L-Lysine hexyl ester dihydrochloride,2,0,0,0,0,2,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.3
L-Lysine octyl ester dihydrochloride,2,0,0,0,0,2,2,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.9
